id,name,description,price,originalPrice,images,category,subcategory,brand,colors,sizes,inStock,rating,reviews,tags,createdAt,updatedAt
hf_15970,"Turtle Check Men Navy Blue Shirt","Premium navy blue shirts designed for casual occasions during fall.",74,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/0/image/image.jpg?Expires=1758108426&Signature=Z7OJJ2~-5m~MGwe9q29Qx7DOIlt8iDlxnqqExEeDxn5MUMpxYzVtvGJDxnZDHu1XReM-Rql3Rd5c3DwCgHzQ2fiLw9glLXr~eELxiBx1~JrECzbP6WqqeQlYegaUQjEDKJbhBuRIpFLyDQ7wYx9q2wT2n0D~y6hJ1AnKsB29l~g2vHsnUY-Qn5VPCsUI5wYf4z~X10SG48MNXHtsM3EHMTUUqcTRNrHicNGoNz~ahjpi1yiD031Bzb7sCcAO-1ZGwhq5EldmfylMoH9dqctJuSPxD822UB5K9~r6jhswKXqiGaJjH~3AkxjgjbYF~hgFoStjAv-R2Du8tUpZO3pyEA__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Topwear,Turtle,"Navy Blue","XS;S;M;L;XL",true,3.5,71,"men;apparel;topwear;shirts;navy-blue;fall;casual",2010-12-31T18:30:00.000Z,2025-09-17T10:28:46.518Z
hf_39386,"Peter England Men Party Blue Jeans","Premium blue jeans designed for casual occasions during summer.",118,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/1/image/image.jpg?Expires=1758108426&Signature=PYpCO5UA-uWAGkAwMVsUgojyHuTI6Ei-FMkMvGXPDEZT89vwUKcFAWFeUTGYLMr~W2wQ~~AkZ0gWhjw0ru7pD3ofkbAvF7LHdkSdrsxBvg-PzUpimQxMLz7ERYYQEiIequM5u4NEr6uP5D9pBzBgnE4Q2GNXWSV7GOZ0wLe-iG0Yr6DTuHQoUvvNDPJhdyQwWn2Q8wzs9AqfJ2nbOIS9ftXF76ciJpMqZ25Jflqls1sGywd0pHUCIgNo4BZ0bnA4DMeYyk-4chDNnh4s5fU7HAaAQqrg0~P7IoZ0YhV5QUZf1HVjT5UkNZuU-3n5riglUcuWhDsgkegk2N0JYWUXAw__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Bottomwear,Peter England,"Blue","XS;S;M;L;XL",true,4.9,34,"men;apparel;bottomwear;jeans;blue;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.518Z
hf_21379,"Manchester United Men Solid Black Track Pants","Comfortable and trendy track pants featuring black color, ideal for casual activities.",41.4,65,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/3/image/image.jpg?Expires=1758108426&Signature=ZgkIKoiy6ojYmdVQR7j7y60syfUBiAAyTNC-4ZD1H05ps~AqhpdNqCPnOJczzpezliQ4SOVYNTdmv2n1O9Xm~5CwqnHLLUR24l9RZY~8B8lPTFEAlsEym5b-Pk~LXnqcXzaivny8Xiadlnp4JiiFTVmgVUAwKGTVKuMmB2wij0Eaeof5VlVYvqgrkesif-Io2lDNBXJU7Fuz5YvKY56bHVrCjs6WifXyTqhtSIiN-Pv75Csx07G3KbLlr9-n9QQJbMjOVYNUCJ-GOt0BTomt8zR3DrkF6Z4seydRqm6msQCO16R~M7sD7jG8IxXu8tDg2uMT5CwGzheoR~uuYyWPYg__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Bottomwear,Fashion Brand,"Black","XS;S;M;L;XL",true,3.1,158,"men;apparel;bottomwear;track pants;black;fall;casual",2010-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_53759,"Puma Men Grey T-shirt","Premium grey tshirts designed for casual occasions during summer.",23,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/4/image/image.jpg?Expires=1758108426&Signature=cwjByECJUD4qXzO2MmLYnDQISCBY6WzJl4HkEw9cR6QINiYDiukl9QFvOUm19FVI9dGNduFJtrlzwJMBVuz-1vc0ntYLLOiohY7rPoXSnLb8LS37p0mHNCseCYbw8q7yQ0Z~cR59yTVZOrEk4JGfCPdEhzRE58vPhSGFfAsnFNMATyrXtX-POWNK3zaCNixfRHf1qzJeoj2pMIALPXQ1uRi~GDQUOqjinv5F4G6SEBgeDP~mfwb1MxrFnHf5DBY2i25xAvF7o6N36CxgguZ-m3IuTKFXaCdJZf0rzEK7H2pCK7cJ~vGb53rl7BdBwAQoH4GWzLL1oOVaofDsRhy4hw__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Topwear,Puma,"Grey","XS;S;M;L;XL",true,3.7,84,"men;apparel;topwear;tshirts;grey;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_1855,"Inkfruit Mens Chain Reaction T-shirt","Premium grey tshirts designed for casual occasions during summer.",11.53,15,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/5/image/image.jpg?Expires=1758108426&Signature=GzzOQQVzN9amvmrJ6El1btQIWrSDCo0ikk5a9m~xppHnOtxkCvN~rIWoVjFvAIZMmNBefF~PdWaKwb-w43vetfQ6XnmRI3oPeitts2orp234HTDUxdNQHGHovRz3ESv7PJ9yRICuAzW0I6WlXsJkJucArrjVug6M0wSrznQZS~~5nU0iW2pv614WuthMVZEbEd2vSy-3cfItX-9A6zgiID0a6J3ah1gscnDFURx8tryAMxO0lP~L2FCbzQGlNJnsXun51hJaW6lehOnVAiao4lR5gSKOivGH0L-9bAxVVnvvS0pZ-06dnCQ~4eM8MzLZ7J5QRTI~N3KsjQyXylisNQ__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Topwear,Fashion Brand,"Grey","XS;S;M;L;XL",true,3.6,149,"men;apparel;topwear;tshirts;grey;summer;casual",2010-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_30805,"Fabindia Men Striped Green Shirt","Stylish shirts in green perfect for summer ethnic wear.",44.43,54,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/6/image/image.jpg?Expires=1758108426&Signature=T-soMN-lWkQ1Q3Q6x7dIPT58G-7HMEfC~YSSriZacYrkfFfg77R5-u5RYl0OVELn8BgiN-KDkD5OXI3U9Uhe23DnBmR2GkNqmqqG~jcAiOc0bINsblZPRAx3F45s3mqiv7ceMLiMDzhQPQ3DSyf6-rB1TR6NuWp6-mox2uJJ-FUXAlopb0rXpouYBCNGQlosP~KyJYKiuLxY9QIuhtgV9p8ptVgrHXKbBELhSnJM6Fk~k0H9Zy4WdkCNpZEjo-Q5nhLPTuTL8BxPMCBUT-bJMFMQh9L6s1LnvQCcnn9I8NxHSSOTNwsQKqlcSVaTi94E9THA54iheu7a-KT1E8g5rA__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Topwear,Fashion Brand,"Green","XS;S;M;L;XL",true,3.1,114,"men;apparel;topwear;shirts;green;summer;ethnic",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_29114,"Puma Men Pack of 3 Socks","Stylish socks in navy blue perfect for summer casual wear.",51,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/8/image/image.jpg?Expires=1758108426&Signature=mnfRZTSwcoGuSqLH0nFJgLc8pr1voZd4nEfgzojd-CARH6hBl9kcJnZbKwW1sOOuw4YrtvmH2bn50RWbBt6fxH0PaahVO-IA1Ii6v3pG3lT7ongFFSb~fM1lb8vPMrLuX2HETbrkTPznNUruSWR4OUUNH88OUlHdWxImh5bLsr43i5OeFISXCGAnBxk5kQ1Mw9hidSEbLKAUUJcPKwE~cHn3AHQ3~40DpO8JvIJ1livyrEJtuAxHflC2~TqxZ3A5oMML4QOd7Kz9czL0gh9UlFTJrReRmB4kN8myv73dPxL3pQTeZivAb9VhxAKQW7kldGJRyx2ti~WzJv70k1Pzkw__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Socks,Puma,"Navy Blue","One Size",false,3.6,157,"men;accessories;socks;navy-blue;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_30039,"Skagen Men Black Watch","Comfortable and trendy watches featuring black color, ideal for casual activities.",81,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/9/image/image.jpg?Expires=1758108426&Signature=jXt6cmN1gG6KxbExW0fhJIbJmpQaR8DzF247qh7qKw07Q7sxKdekFz9KTntX6icRVsx6WojKou0N7NhzfVopAPZb4pVkUyAMwi2m7grP93k4z4gPAKsfigfdkS2gk0BdK5iEeTuod-gxQa2bldaS0h73-PvtLmaabn6NA3SmlzroIcnwyUupSzV5jDjk~JjfkSQUxfuVpLMQ~m35H5z3qs6JQId69l2UMDAcwJaTUh0gRdFRwbh1y8E4ccPdFb5ONEA1mTbG5~R9vF0tYe4yR-isRyIaAYFh0V~1k8F8D~j6t2YTnZQyl1lLO5M3r4RsqdOPKu62zSvZbkFy-TmmuA__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Watches,Fashion Brand,"Black","One Size",true,3.4,43,"men;accessories;watches;black;winter;casual",2015-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_9204,"Puma Men Future Cat Remix SF Black Casual Shoes","Premium black casual shoes designed for casual occasions during summer.",38.63,61,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/10/image/image.jpg?Expires=1758108426&Signature=c6291grF3TOvDrSPSQUXCBEHa5FGenvylWbe-s~RN358jt~jueT5aBFpXjSPyIpN2iT4sg7aTqpn2YKdGuSTKWwXny-P~ARZPAQcQuiiDyUbw6BrZvy7lJYmlTTiwUPANuLxziGrLFlbCdrvO6wP4aBQ2fDChKVt1Ldmy0ruUXaK-QUBsbkOJfR1Ysm7~XcqhhZb3tQsLixnu76zkulETXCW1y3ElbmKxajaQh86JdjUHSpw0SSAtR3jb9Lab4VPEO9r-tPzjrSVUgEKypB6Qsvh8b7jX3e9Zzp~rOr1P5DLxmqsYvi1ruMbr43qjkK2vcmMxmZfZmjXN9xIco~d8A__&Key-Pair-Id=K3EI6M078Z3AC3",Shoes,Shoes,Puma,"Black","7;8;9;10;11;12",true,3.1,205,"men;footwear;shoes;casual shoes;black;summer;casual",2010-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_18653,"Fila Men Cush Flex Black Slippers","Stylish flip flops in black perfect for fall casual wear.",28,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/12/image/image.jpg?Expires=1758108426&Signature=fMkMjt01YeNz18jZz7UqiwffwybJY0Yv3Yaogy9jMOSiw3pLBsEEJ3TklQ8f1sGCP8WlFDArE6P7JFlRBTRTZBh19K5ctAgAjYUFbxxq8tZZWdYgKhR-5-yzIsVl-DMwpZV5MbeMsSnerG7XvgCP3roxQmGrMI5UHHGaoGEGDzlXJTnBC-AAorojcRaP3-KNQjJaXtA~nKXlPSxJGn9hZI~pmSPBbb0mi89YezULCQ7TXGBGJ0v2Z4~0kCG3ORhsfARkudGoNx4NjxhTmqoBkg5UOI5fj6bsG4FbPKqTmmUs233idSE-v5idkCSOiQDHvurySFOixXWyQhwcYkLx1Q__&Key-Pair-Id=K3EI6M078Z3AC3",Shoes,Flip Flops,Fashion Brand,"Black","7;8;9;10;11;12",true,4.1,104,"men;footwear;flip flops;black;fall;casual",2010-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
