id,name,description,price,originalPrice,images,category,subcategory,brand,colors,sizes,inStock,rating,reviews,tags,createdAt,updatedAt
hf_59263,"Titan Women Silver Watch","Stylish watches in silver perfect for winter casual wear.",180.74,235,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/2/image/image.jpg?Expires=1758108426&Signature=WomcOLaPB3sIq5Snn1tcLzGnFyMPCGZF3bZ5KoCF-GA8bkjQ5f2XPFt1EraLYT901iFajJPe1~umQ0K0U2YxqF2Pua-xi1H2cdSdsx1xNLVolbRsineUkl8EDyQy6OkrpeoBhDjgwnpxNFcPt-RHTiXYfTWCp~z5OttHiCq12cSGk3akJVD~E8Q7FbdEZUOo0HSOQ6uOJv4mlBUeofE2UlYcp9vNAwSCKuZ-cSVEyfKgA3GqtIE0eUNIh1Wmr8ThxZ-WzlnB-n1HPcWiNBZSU5RCYo2BSxPW9ghIgQeaM99imkAvYfFlCADurKuZuwW5LmHhViToyQ9bvr0982Nn4A__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Watches,Fashion Brand,"Silver","One Size",true,4,32,"women;accessories;watches;silver;winter;casual",2015-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_26960,"Jealous 21 Women Purple Shirt","Stylish shirts in purple perfect for summer casual wear.",65,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/7/image/image.jpg?Expires=1758108426&Signature=BV5J5MpMPeDvZ5iChQhjYTWXxW6vnugnzqMX5YqBzDNUHe~oY~j9QIW11ldtaDxRdl~v5zYZKS4Fg6OMOr1snLJ2K-gwe0Yrse2anMq9d7xcCQlt5d6G8RIrGdGxIMhpVGZthlkbv2BEDBFJ0Tfc3ORRrxAzK7lL0M9wX-25ag1cEOtdAlSCBQepcX1~elVAwKC8-h2HcjB1~~bcC7rBfXhrwgt2ISiaBS2FTXYzOAkOOWyOx6kiShxftNLc19zIdp9Roe52bPg4OdBi1i3lwnokp1Y0uH791~KXPgkttjqLQBS0-8e9vpPGX3GCf4j6h2~L5~2HRwgWAxmyAY0hZw__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Topwear,Fashion Brand,"Purple","XS;S;M;L;XL",true,3.5,34,"women;apparel;topwear;shirts;purple;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_48123,"Fossil Women Black Huarache Weave Belt","Premium black belts designed for casual occasions during summer.",51.62,84,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/11/image/image.jpg?Expires=1758108426&Signature=vwPBZNuzvjNzxWqpH4yiDm4oj-sXkc8oLrSFX0rZvB4xPi4Fx41~~8s2K~Rbk0Yqx2hF2r3wTGaZwrDmPFJjLyPoSUMYOoAV2UkwpKCdhUL631fo-1aPthe~ped0vIftNVfbWNHp3k5bmcDiz7tPs~bXnA3wPGPjFr7IUmtmkCJdH~P3IaXP9B6oMrnsi7z-6SGs2EwfFj62T5X5qeePZyeVpcUVCI6xcu66MJmonqPNytwL40WeyZCuRHFoMczizYMkEG7jF3~GYzO8vz0FdIK4HfrRTjGjxvZ-RLEj8u~4b5nVc7INMMZdaCOMvT2ao1PSvIHRvpefTuJvaW-lDA__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Belts,Fashion Brand,"Black","One Size",true,4.6,65,"women;accessories;belts;black;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_47957,"Murcia Women Blue Handbag","Premium blue handbags designed for casual occasions during summer.",57.54,91,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/13/image/image.jpg?Expires=1758108426&Signature=gOpUbMlu3dfBLp3lPs9COLuw-qj~qFZ2tO~xpwkvlKpIsMvwZfpgPHNQNpacCFI45P628G8FuE-URTRZzbW4oRtTaccllRzgEbuvEdSL-zf7D~eKPaHUS2IMpTE2IkYaKsZzm3KZpkvZbIiHP4UhPS-zoXwiZALtooybzfIYihH6cVnTUSa~omloZBpBDOonArj-IjZKYZExMyV29KUAXoHfGo5KSknjRnoKez2UXZjE33PNgJYG2FfijzA-U4Dave--uW4PQxzJgfdag2V9lmlL-CfQAi4OR3E2CYIGXh~Csfsi~yujSNz~0wt1riZ93WDJ2y8YsVnabp2czeFaNQ__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Bags,Fashion Brand,"Blue","One Size",true,4.7,23,"women;accessories;bags;handbags;blue;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_51832,"Bwitch Beige Full-Coverage Bra BW335","Stylish bra in beige perfect for summer casual wear.",37.75,50,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/18/image/image.jpg?Expires=1758108427&Signature=dOq5CKeNdfN~ECOsHuPiGNmuzjSyTNwjcY7RMi6EDCPeCFQwcsMvIQTRGtGNbDoe~aB3iLZwhG3vt1PV-zLH6jPYF5QLnlWN7DXcmFwZBje0GgaBFW8ww-lqiZq9pAloanhEqvUl8g0oT4eN--AbXqzdA1zpu0dG4DBYpjzL-y38X-cTcyyMOFJEm685fQ2I-XC9kKJUHhBYt-YXAS6tZaN5qayepl5tVnMKgAZWTD3xYdRHA-m9mi1Z-j9cFZaZCoLXCLT2VbvcU3XvpAnOWr1ppMt-etzCXGBS-HR5~JxRXcTOVgu0gbayqc6SlfNPKn8VtYV-t5WMxOeJxlH2Pw__&Key-Pair-Id=K3EI6M078Z3AC3",Clothing,Innerwear,Fashion Brand,"Beige","XS;S;M;L;XL",true,3.4,205,"women;apparel;innerwear;bra;beige;summer;casual",2015-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_47359,"Baggit Women Brown Handbag","Premium brown handbags designed for casual occasions during summer.",50,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/19/image/image.jpg?Expires=1758108427&Signature=piRqVxcU4z73F15BnHJ1salxfSCHOuxYZyBScN~OGU4eXhAXLalB5MlkGm9KKBZSm7eJJlti~KjDtn39X-PrbR9Y~umk6DZK6f91s97M4ByNXo0PnnN-6f6Vl-wEToSb7kLuLTQsfHsZ9-jgEkeIY8oAbJ95XviTfmWZIUxcKwSDtSjCpHIBPuxR1aJOjRGq4xlEJ~3rXHRb6WjjC7uH2UeJqHSed6p5zPRjWzcF5qwMszKqkqiCqGQhE98uF9kyyyagvs6lm46x36SdZDYDL2VmPxoCbkwesc3sI14dCokXk3WbZHNL4Ah3vRoSws8SXcfHA-f4aim9IcYS6fv~cg__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Bags,Fashion Brand,"Brown","One Size",true,4.8,202,"women;accessories;bags;handbags;brown;summer;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_48311,"Pitaraa Women Bronze Beaded Bracelet","Stylish bracelet in bronze perfect for winter casual wear.",32.52,37,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/26/image/image.jpg?Expires=1758108427&Signature=ijKA03X1Tg95Gcq1qdpmJzCRFgp3n3dVcstDjy7J0XSk605n5ni3PlxunB3~APdhMNngmG10zii0SO5T79icAC5nAv5~wHe7PH2c-P1VD2luQGKB-UjWIaIUggKa6Jg2eP-pSkZbEYHTBF9lfHFikxROasiGf55Z6fdyL41ON3GZ-nLOmssXYYhYh57Nnm1ix6JtsKsf8MO4~L1SziHScJ-aa4QWdydM2DV1PruaEnFcP8a5TzPFigClXGCzSo~9JVvEP7izwMI5fdoz0YMvsEL5rum3xJJaFzdc9sV3NV3IXlDHsIZKUwuR2G3Hoe~D59joz9VFcLH7WB33CnWgOg__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Jewellery,Fashion Brand,"Bronze","One Size",true,3.6,152,"women;accessories;jewellery;bracelet;bronze;winter;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_56019,"Colorbar Soft Touch Show Stopper Copper Lipstick 037","Comfortable and trendy lipstick featuring brown color, ideal for casual activities.",62,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/28/image/image.jpg?Expires=1758108427&Signature=GMw9n~62ULXlY8O8-I~WQgPZSJ0hQhVUDqn6LtmbWLQXybKmEh1AuNAx-44NVrHrFpI~ZI~k60k5Qo46AyT3~KUAg9qEyBLaXWDbZNgQ84QHRH1eMQjBssGhPLvo38M1sxpVvInGw91LGEfv6hImUzX~tmY5ndn49WEWAwVr-R7vF3fIR9m1nxJ7uZkkB7sk6MPJwg0E8jvjx9sBGPQt8DXEGO8bsb7oEr9QDoZ4L3KCHklE5dd-9PIIJAdySfJMi7IU7tE8RBv5Zs6fKRbwiP9MfSVMA5aQ8XW3kvKSNaNoBTkEOZ1oHfkp1hmsAsDkGAx1DYYHOxe186mfFwjmWQ__&Key-Pair-Id=K3EI6M078Z3AC3",Beauty,Lips,Fashion Brand,"Brown","XS;S;M;L;XL",true,4.8,104,"women;personal care;lips;lipstick;brown;spring;casual",2016-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_21977,"Murcia Women Casual Brown Handbag","Stylish handbags in brown perfect for winter casual wear.",73,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/29/image/image.jpg?Expires=1758108427&Signature=uKYn1seZwzN4bW236jlF49STjFcCrR8VjDXJK13qiFF3OoWMRPgzo7vBvM9fVCQsayrXbhacahPumqVzW3keR-rrBA3s1dia8bPUp8rZqF6aMnhcVa7N2XSuDIHIeOjbf7anjaWkujMRPlAIPnAU2jkNM4y9W6qVB6DlGYvj~FeumYj2Y0HUEdaAuKgKL-DocWUh~059tL9Kux4p3EQoyOkPcC0iTT-eG0v6s73SGaDulQ1rs8KOefIENJ~x9rYr-ilqWdcyLoq2fpcNECmpLHRrsyWOhDCK5PA5b-cRSNmtVxfBnLVL3TGJJlK0ybbkSg5Dn~sRRr3mEY5naB9WEQ__&Key-Pair-Id=K3EI6M078Z3AC3",Accessories,Bags,Fashion Brand,"Brown","One Size",true,4.8,80,"women;accessories;bags;handbags;brown;winter;casual",2014-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
hf_59051,"Carlton London Women Black & Gold Toned Flats","Stylish flats in black perfect for winter casual wear.",80,,"https://datasets-server.huggingface.co/cached-assets/ashraq/fashion-product-images-small/--/3859c76db2f6f3d3b9a3863345e3ccdbff75879d/--/default/train/34/image/image.jpg?Expires=1758108427&Signature=oRUTwBZgcHtvN6-0DBEhM7a-nbzdK~TLJsY03yUnnGshHLRUBkVaVl9l3lIMwigAl3RuXMnzqbAvtH2nV-B25aKiJSeNUWP0wJeQu1I~DE8a3~h3lJDaKsppTFUlD2OxXo-2nDzxAgTGUwYJpMiIznjXu-yirUpfWW-4SdwprfYS7qO91WscSnorR-jn9VBjIxu9MZyuE~qHh6qGZpHqOUUU1-L0vM09frARLsH7vQuDO80N2BGUilQCIXMceyHX23v6XCFxUs9uITBhPiKqPrJn5jMvjkn-4rmwhf~NkQ-izeZR2ln8L147D5W-EqSkp3SYUFLSd0Mn0xrmZpdchw__&Key-Pair-Id=K3EI6M078Z3AC3",Shoes,Shoes,Fashion Brand,"Black","5;6;7;8;9;10",true,4.3,190,"women;footwear;shoes;flats;black;winter;casual",2011-12-31T18:30:00.000Z,2025-09-17T10:28:46.519Z
